           X Spline Natural      Error
11 23.00000        6.100000  1.776357e-15
          X Spline Natural        Error
1  23.00000       6.100000  0.000000000
2  23.23705       6.000904  0.020226197
3  23.45750       5.932498  0.031862683
4  23.66450       5.889615  0.034428283
5  23.86117       5.867087  0.028987906
6  24.05065       5.859747  0.017760120
7  24.23609       5.862427  0.003816218
8  24.42060       5.869960 -0.009155156
9  24.60733       5.877178 -0.017040599
10 24.79942       5.878914 -0.015472763
11 25.00000       5.870000  0.000000000
          X Spline MonoH.FC        Error
1  23.00000        6.100000  0.000000000
2  23.23705        6.000904  0.020226197
3  23.45750        5.932498  0.031862683
4  23.66450        5.889615  0.034428283
5  23.86117        5.867087  0.028987906
6  24.05065        5.859747  0.017760120
7  24.23609        5.862427  0.003816218
8  24.42060        5.869960 -0.009155156
9  24.60733        5.877178 -0.017040599
10 24.79942        5.878914 -0.015472763
11 25.00000        5.870000  0.000000000
          X Spline Natural      Error
1  25.00000       5.870000 0.00000000
2  25.21104       5.846360 0.03178058
3  25.42987       5.808286 0.07380752
4  25.65264       5.757160 0.11710404
5  25.87552       5.694365 0.15273834
6  26.09466       5.621285 0.17308389
7  26.30623       5.539302 0.17302603
8  26.50639       5.449799 0.15096471
9  26.69130       5.354159 0.10947376
10 26.85712       5.253765 0.05549787
11 27.00000       5.150000 0.00000000
          X Spline MonoH.FC      Error
1  25.00000        5.870000 0.00000000
2  25.21104        5.846360 0.03178058
3  25.42987        5.808286 0.07380752
4  25.65264        5.757160 0.11710404
5  25.87552        5.694365 0.15273834
6  26.09466        5.621285 0.17308389
7  26.30623        5.539302 0.17302603
8  26.50639        5.449799 0.15096471
9  26.69130        5.354159 0.10947376
10 26.85712        5.253765 0.05549787
11 27.00000        5.150000 0.00000000
          X Spline Natural         Error
1  27.00000       5.150000  0.0000000000
2  27.11749       5.044316 -0.0432837055
3  27.21263       4.938439 -0.0650700699
4  27.28985       4.834165 -0.0655535370
5  27.35356       4.733291 -0.0499796838
6  27.40820       4.637613 -0.0254852972
7  27.45818       4.548925  0.0004638859
8  27.50793       4.469024  0.0208672498
9  27.56186       4.399705  0.0297755104
10 27.62441       4.342765  0.0230913683
11 27.70000       4.300000  0.0000000000
          X Spline MonoH.FC         Error
1  27.00000        5.150000  0.0000000000
2  27.11749        5.044316 -0.0432837055
3  27.21263        4.938439 -0.0650700699
4  27.28985        4.834165 -0.0655535370
5  27.35356        4.733291 -0.0499796838
6  27.40820        4.637613 -0.0254852972
7  27.45818        4.548925  0.0004638859
8  27.50793        4.469024  0.0208672498
9  27.56186        4.399705  0.0297755104
10 27.62441        4.342765  0.0230913683
11 27.70000        4.300000  0.0000000000
          X Spline Natural        Error
1  27.70000       4.300000  0.000000000
2  27.79190       4.272258 -0.034036201
3  27.89880       4.256599 -0.067340449
4  28.01826       4.249138 -0.090519238
5  28.14783       4.245989 -0.098642004
6  28.28504       4.243265 -0.091269479
7  28.42744       4.237079 -0.071812975
8  28.57260       4.223546 -0.046341570
9  28.71804       4.198780 -0.021999658
10 28.86133       4.158893 -0.005228286
11 29.00000       4.100000  0.000000000
